,dist,date,party,name,votes,stab,stcd,justice,tea,trump,LW_new,RW_either,RW_both,Extreme_ new,casesSum,deathsSum,casesMax,deathsMax,totVotes,voteSh,extreme,partyClean,caseSh,clust,log_cases,log_death
586,H_2,2020-06-02,GOP,Mike Simpson,68674,ID,1602,0,0,1,0,1,0,1,2346,56,818,23,95378,0.7200192917,0,GOP,0.0245968672,ID2020-06-02,7.760893196,4.043051268
584,H_1,2020-06-02,GOP,Russ Fulcher,93879,ID,1601,0,0,1,0,1,0,1,1407,49,818,22,117533,0.7987458841,0,GOP,0.01197110599,ID2020-06-02,7.249925537,3.912023005
582,H_2,2020-06-02,DEM,Aaron Swisher,0,ID,1602,0,0,0,0,0,0,0,2346,56,818,23,0,1,0,DEM,Inf,ID2020-06-02,7.760893196,4.043051268
585,H_2,2020-06-02,GOP,Kevin Rhoades,26704,ID,1602,0,0,0,0,0,0,0,2346,56,818,23,95378,0.2799807083,0,GOP,0.0245968672,ID2020-06-02,7.760893196,4.043051268
583,H_1,2020-06-02,GOP,Nicholas Jones,23654,ID,1601,0,0,0,0,0,0,0,1407,49,818,22,117533,0.2012541159,0,GOP,0.01197110599,ID2020-06-02,7.249925537,3.912023005
580,H_1,2020-06-02,DEM,Rudy Soto,25112,ID,1601,0,0,0,0,0,0,0,1407,49,818,22,38186,0.6576232127,0,DEM,0.03684596449,ID2020-06-02,7.249925537,3.912023005
581,H_1,2020-06-02,DEM,Staniela Nikolova,13074,ID,1601,0,0,0,0,0,0,0,1407,49,818,22,38186,0.3423767873,0,DEM,0.03684596449,ID2020-06-02,7.249925537,3.912023005
596,H_3,2020-03-17,DEM,Marie Newman,49098,IL,1703,1,0,0,1,0,0,1,135,1,107,1,103859,0.4727370762,0,DEM,0.001299839205,IL2020-03-17,4.912654886,0.6931471806
654,H_18,2020-03-17,GOP,Darin LaHood,0,IL,1718,0,0,1,0,1,0,1,5,0,3,0,0,1,0,GOP,Inf,IL2020-03-17,1.791759469,0
652,H_17,2020-03-17,GOP,Esther Joy King,19360,IL,1717,0,0,1,0,1,0,1,3,0,1,0,29720,0.6514131898,0,GOP,0.0001009421265,IL2020-03-17,1.386294361,0
649,H_15,2020-03-17,GOP,Mary Miller,47834,IL,1715,0,0,1,0,1,0,1,3,0,2,0,84474,0.5662570732,0,GOP,3.55E-05,IL2020-03-17,1.386294361,0
651,H_16,2020-03-17,GOP,Adam Kinzinger,0,IL,1716,0,0,0,0,0,0,0,3,0,2,0,0,1,0,GOP,Inf,IL2020-03-17,1.386294361,0
590,H_1,2020-03-17,DEM,Ameena Matthews,9761,IL,1701,0,0,0,0,0,0,0,109,1,107,1,123317,0.07915372576,0,DEM,0.0008839008409,IL2020-03-17,4.700480366,0.6931471806
646,H_14,2020-03-17,GOP,Anthony Catella,1109,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.02153941772,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
604,H_7,2020-03-17,DEM,Anthony Clark,15022,IL,1707,0,0,0,0,0,0,0,107,1,107,1,118747,0.1265042485,0,DEM,0.0009010753956,IL2020-03-17,4.682131227,0.6931471806
626,H_3,2020-03-17,GOP,Arthur Jones,1637,IL,1703,0,0,0,0,0,0,0,135,1,107,1,16251,0.1007322626,0,GOP,0.008307181097,IL2020-03-17,4.912654886,0.6931471806
615,H_13,2020-03-17,DEM,Betsy Dirksen Londrigan,47637,IL,1713,0,0,0,0,0,0,0,3,0,3,0,62324,0.7643443938,0,DEM,4.81E-05,IL2020-03-17,1.386294361,0
611,H_11,2020-03-17,DEM,Bill Foster,44422,IL,1711,0,0,0,0,0,0,0,138,1,107,1,75671,0.5870412708,0,DEM,0.001823684106,IL2020-03-17,4.934473933,0.6931471806
588,H_1,2020-03-17,DEM,Bobby Rush,88499,IL,1701,0,0,0,0,0,0,0,109,1,107,1,123317,0.7176545002,0,DEM,0.0008839008409,IL2020-03-17,4.700480366,0.6931471806
609,H_10,2020-03-17,DEM,Brad Schneider,0,IL,1710,0,0,0,0,0,0,0,114,1,107,1,0,1,0,DEM,Inf,IL2020-03-17,4.744932128,0.6931471806
598,H_5,2020-03-17,DEM,Brian Burns,26925,IL,1705,0,0,0,0,0,0,0,133,1,107,1,108645,0.2478254867,0,DEM,0.001224170463,IL2020-03-17,4.8978398,0.6931471806
642,H_14,2020-03-17,GOP,Catalina Lauf,10365,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.2013129528,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
625,H_3,2020-03-17,GOP,Catherine O'Shea,5267,IL,1703,0,0,0,0,0,0,0,135,1,107,1,16251,0.3241031321,0,GOP,0.008307181097,IL2020-03-17,4.912654886,0.6931471806
593,H_3,2020-03-17,DEM,Charles Hughes,2376,IL,1703,0,0,0,0,0,0,0,135,1,107,1,103859,0.02287717001,0,DEM,0.001299839205,IL2020-03-17,4.912654886,0.6931471806
622,H_17,2020-03-17,DEM,Cheri Bustos,0,IL,1717,0,0,0,0,0,0,0,3,0,1,0,0,1,0,DEM,Inf,IL2020-03-17,1.386294361,0
628,H_4,2020-03-17,GOP,Christopher Lasky,0,IL,1704,0,0,0,0,0,0,0,107,1,107,1,0,1,0,GOP,Inf,IL2020-03-17,4.682131227,0.6931471806
650,H_15,2020-03-17,GOP,Chuck Ellington,6160,IL,1715,0,0,0,0,0,0,0,3,0,2,0,84474,0.07292184578,0,GOP,3.55E-05,IL2020-03-17,1.386294361,0
597,H_4,2020-03-17,DEM,Chuy Garcia,0,IL,1704,0,0,0,0,0,0,0,107,1,107,1,0,1,0,DEM,Inf,IL2020-03-17,4.682131227,0.6931471806
633,H_7,2020-03-17,GOP,Craig Cameron,0,IL,1707,0,0,0,0,0,0,0,107,1,107,1,0,1,0,GOP,Inf,IL2020-03-17,4.682131227,0.6931471806
618,H_15,2020-03-17,DEM,Craig Morton,6485,IL,1715,0,0,0,0,0,0,0,3,0,2,0,33729,0.1922677814,0,DEM,8.89E-05,IL2020-03-17,1.386294361,0
595,H_3,2020-03-17,DEM,Dan Lipinski,46315,IL,1703,0,0,0,0,0,0,0,135,1,107,1,103859,0.4459411317,0,DEM,0.001299839205,IL2020-03-17,4.912654886,0.6931471806
621,H_16,2020-03-17,DEM,Dani Brzozowski,0,IL,1716,0,0,0,0,0,0,0,3,0,2,0,0,1,0,DEM,Inf,IL2020-03-17,1.386294361,0
601,H_7,2020-03-17,DEM,Danny Davis,72930,IL,1707,0,0,0,0,0,0,0,107,1,107,1,118747,0.6141628841,0,DEM,0.0009010753956,IL2020-03-17,4.682131227,0.6931471806
647,H_15,2020-03-17,GOP,Darren Duncan,18170,IL,1715,0,0,0,0,0,0,0,3,0,2,0,84474,0.2150957691,0,GOP,3.55E-05,IL2020-03-17,1.386294361,0
617,H_15,2020-03-17,DEM,Erika Weaver,17494,IL,1715,0,0,0,0,0,0,0,3,0,2,0,33729,0.5186634647,0,DEM,8.89E-05,IL2020-03-17,1.386294361,0
606,H_8,2020-03-17,DEM,Inam Hussain,4386,IL,1708,0,0,0,0,0,0,0,136,1,107,1,62414,0.07027269523,0,DEM,0.002178998302,IL2020-03-17,4.919980926,0.6931471806
644,H_14,2020-03-17,GOP,James Marter,5666,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.1100471964,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
608,H_9,2020-03-17,DEM,Jan Schakowsky,0,IL,1709,0,0,0,0,0,0,0,107,1,107,1,0,1,0,DEM,Inf,IL2020-03-17,4.682131227,0.6931471806
632,H_6,2020-03-17,GOP,Jay Kinzler,11663,IL,1706,0,0,0,0,0,0,0,145,1,107,1,39990,0.291647912,0,GOP,0.003625906477,IL2020-03-17,4.983606622,0.6931471806
640,H_14,2020-03-17,GOP,Jerry Evans,2576,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.05003204692,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
612,H_12,2020-03-17,DEM,Joel Funk,25381,IL,1712,0,0,0,0,0,0,0,2,0,2,0,52383,0.484527423,0,DEM,3.82E-05,IL2020-03-17,1.098612289,0
619,H_15,2020-03-17,DEM,John Hursey,2200,IL,1715,0,0,0,0,0,0,0,3,0,2,0,33729,0.06522577011,0,DEM,8.89E-05,IL2020-03-17,1.386294361,0
648,H_15,2020-03-17,GOP,Kerry Wolff,12310,IL,1715,0,0,0,0,0,0,0,3,0,2,0,84474,0.1457253119,0,GOP,3.55E-05,IL2020-03-17,1.386294361,0
620,H_15,2020-03-17,DEM,Kevin Gaither,7550,IL,1715,0,0,0,0,0,0,0,3,0,2,0,33729,0.2238429838,0,DEM,8.89E-05,IL2020-03-17,1.386294361,0
630,H_5,2020-03-17,GOP,Kimball Ladien,1711,IL,1705,0,0,0,0,0,0,0,133,1,107,1,10351,0.1652980388,0,GOP,0.0128490001,IL2020-03-17,4.8978398,0.6931471806
603,H_7,2020-03-17,DEM,Kina Collins,16395,IL,1707,0,0,0,0,0,0,0,107,1,107,1,118747,0.1380666459,0,DEM,0.0009010753956,IL2020-03-17,4.682131227,0.6931471806
636,H_11,2020-03-17,GOP,Krishna Bansal,10297,IL,1711,0,0,0,0,0,0,0,138,1,107,1,22338,0.4609633808,0,GOP,0.006177813591,IL2020-03-17,4.934473933,0.6931471806
602,H_7,2020-03-17,DEM,Kristine Schanbacher,14400,IL,1707,0,0,0,0,0,0,0,107,1,107,1,118747,0.1212662215,0,DEM,0.0009010753956,IL2020-03-17,4.682131227,0.6931471806
616,H_14,2020-03-17,DEM,Lauren Underwood,0,IL,1714,0,0,0,0,0,0,0,40,0,26,0,0,1,0,DEM,Inf,IL2020-03-17,3.713572067,0
591,H_2,2020-03-17,DEM,Marcus Lewis,16327,IL,1702,0,0,0,0,0,0,0,109,1,107,1,107143,0.1523851302,0,DEM,0.001017331977,IL2020-03-17,4.700480366,0.6931471806
638,H_12,2020-03-17,GOP,Mike Bost,0,IL,1712,0,0,0,0,0,0,0,2,0,2,0,0,1,0,GOP,Inf,IL2020-03-17,1.098612289,0
627,H_3,2020-03-17,GOP,Mike Fricilone,9347,IL,1703,0,0,0,0,0,0,0,135,1,107,1,16251,0.5751646053,0,GOP,0.008307181097,IL2020-03-17,4.912654886,0.6931471806
599,H_5,2020-03-17,DEM,Mike Quigley,81720,IL,1705,0,0,0,0,0,0,0,133,1,107,1,108645,0.7521745133,0,DEM,0.001224170463,IL2020-03-17,4.8978398,0.6931471806
623,H_18,2020-03-17,GOP,Philanise White,0,IL,1718,0,0,0,0,0,0,0,5,0,3,0,0,1,0,GOP,Inf,IL2020-03-17,1.791759469,0
610,H_11,2020-03-17,DEM,Rachel Ventura,31249,IL,1711,0,0,0,0,0,0,0,138,1,107,1,75671,0.4129587292,0,DEM,0.001823684106,IL2020-03-17,4.934473933,0.6931471806
607,H_8,2020-03-17,DEM,Raja Krishnamoorthi,49791,IL,1708,0,0,0,0,0,0,0,136,1,107,1,62414,0.7977537091,0,DEM,0.002178998302,IL2020-03-17,4.919980926,0.6931471806
613,H_12,2020-03-17,DEM,Raymond Lenzi,27002,IL,1712,0,0,0,0,0,0,0,2,0,2,0,52383,0.515472577,0,DEM,3.82E-05,IL2020-03-17,1.098612289,0
637,H_11,2020-03-17,GOP,Rick Laib,12041,IL,1711,0,0,0,0,0,0,0,138,1,107,1,22338,0.5390366192,0,GOP,0.006177813591,IL2020-03-17,4.934473933,0.6931471806
589,H_1,2020-03-17,DEM,Robert Emmons,12254,IL,1701,0,0,0,0,0,0,0,109,1,107,1,123317,0.09936991656,0,DEM,0.0008839008409,IL2020-03-17,4.700480366,0.6931471806
592,H_2,2020-03-17,DEM,Robin Kelly,90816,IL,1702,0,0,0,0,0,0,0,109,1,107,1,107143,0.8476148698,0,DEM,0.001017331977,IL2020-03-17,4.700480366,0.6931471806
594,H_3,2020-03-17,DEM,Rush Darwish,6070,IL,1703,0,0,0,0,0,0,0,135,1,107,1,103859,0.05844462204,0,DEM,0.001299839205,IL2020-03-17,4.912654886,0.6931471806
587,H_1,2020-03-17,DEM,Sarah Gad,12803,IL,1701,0,0,0,0,0,0,0,109,1,107,1,123317,0.1038218575,0,DEM,0.0008839008409,IL2020-03-17,4.700480366,0.6931471806
634,H_8,2020-03-17,GOP,Sargis Sangari,0,IL,1708,0,0,0,0,0,0,0,136,1,107,1,0,1,0,GOP,Inf,IL2020-03-17,4.919980926,0.6931471806
600,H_6,2020-03-17,DEM,Sean Casten,0,IL,1706,0,0,0,0,0,0,0,145,1,107,1,0,1,0,DEM,Inf,IL2020-03-17,4.983606622,0.6931471806
614,H_13,2020-03-17,DEM,Stefanie Smith,14687,IL,1713,0,0,0,0,0,0,0,3,0,3,0,62324,0.2356556062,0,DEM,4.81E-05,IL2020-03-17,1.386294361,0
641,H_14,2020-03-17,GOP,Sue Rezin,11720,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.2276302756,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
643,H_14,2020-03-17,GOP,Ted Gradel,6864,IL,1714,0,0,0,0,0,0,0,40,0,26,0,51487,0.1333152058,0,GOP,0.0007768951386,IL2020-03-17,3.713572067,0
624,H_2,2020-03-17,GOP,Theresa Raborn,0,IL,1702,0,0,0,0,0,0,0,109,1,107,1,0,1,0,GOP,Inf,IL2020-03-17,4.700480366,0.6931471806
629,H_5,2020-03-17,GOP,Tommy Hanson,8640,IL,1705,0,0,0,0,0,0,0,133,1,107,1,10351,0.8347019612,0,GOP,0.0128490001,IL2020-03-17,4.8978398,0.6931471806
635,H_10,2020-03-17,GOP,Valerie Ramirez Mukherjee,0,IL,1710,0,0,0,0,0,0,0,114,1,107,1,0,1,0,GOP,Inf,IL2020-03-17,4.744932128,0.6931471806
653,H_17,2020-03-17,GOP,William Fawell,10360,IL,1717,0,0,0,0,0,0,0,3,0,1,0,29720,0.3485868102,0,GOP,0.0001009421265,IL2020-03-17,1.386294361,0
605,H_8,2020-03-17,DEM,William Olson,8237,IL,1708,0,0,0,0,0,0,0,136,1,107,1,62414,0.1319735957,0,DEM,0.002178998302,IL2020-03-17,4.919980926,0.6931471806
730,H_6,2020-06-02,GOP,Greg Pence,62459,IN,1806,0,0,1,0,1,0,1,3483,252,553,41,74719,0.8359185749,0,GOP,0.04661464955,IN2020-06-02,8.155936338,5.533389489
704,H_2,2020-06-02,GOP,Jackie Walorski,38281,IN,1802,0,0,1,0,1,0,1,3799,104,1402,39,48591,0.7878207899,0,GOP,0.07818320265,IN2020-06-02,8.242756346,4.65396035
705,H_3,2020-06-02,GOP,Jim Banks,64495,IN,1803,0,0,1,0,1,0,1,2540,116,1719,78,75679,0.8522179204,0,GOP,0.03356281135,IN2020-06-02,7.840312983,4.762173935
712,H_5,2020-06-02,GOP,Allen Davidson,410,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.00473282619,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
687,H_7,2020-06-02,DEM,Andre Carson,59628,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,64960,0.9179187192,0,DEM,0.1553109606,IN2020-06-02,9.219300113,6.458338283
709,H_5,2020-06-02,GOP,Andrew Bales,1321,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.01524893511,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
668,H_1,2020-06-02,DEM,Andrew Sylwestrowicz,347,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.004380649397,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
681,H_5,2020-06-02,DEM,Andy Jacobs,9680,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,72611,0.1333131344,0,DEM,0.1787057057,IN2020-06-02,9.470933839,6.8134446
696,H_9,2020-06-02,DEM,Andy Ruff,19092,IN,1809,0,0,0,0,0,0,0,3576,329,1144,118,44483,0.429197671,0,DEM,0.08039026145,IN2020-06-02,8.182279739,5.799092654
658,H_1,2020-06-02,DEM,Antonio Daggett,917,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.01157652881,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
686,H_6,2020-06-02,DEM,Barry Welsh,5173,IN,1806,0,0,0,0,0,0,0,3483,252,553,41,34071,0.1518300021,0,DEM,0.102227701,IN2020-06-02,8.155936338,5.533389489
675,H_4,2020-06-02,DEM,Benjamin Frederick,4479,IN,1804,0,0,0,0,0,0,0,5441,252,1594,87,33465,0.1338413268,0,DEM,0.1625877783,IN2020-06-02,8.601901919,5.533389489
714,H_5,2020-06-02,GOP,Beth Henderson,15295,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.1765575038,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
693,H_9,2020-06-02,DEM,Brandon Hood,6290,IN,1809,0,0,0,0,0,0,0,3576,329,1144,118,44483,0.1414023335,0,DEM,0.08039026145,IN2020-06-02,8.182279739,5.799092654
711,H_5,2020-06-02,GOP,Carl Brizzi,5588,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.06450495792,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
673,H_3,2020-06-02,DEM,Carlos Marcano,10752,IN,1803,0,0,0,0,0,0,0,2540,116,1719,78,34800,0.3089655172,0,DEM,0.07298850575,IN2020-06-02,7.840312983,4.762173935
656,H_1,2020-06-02,DEM,Carrie Castro,1179,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.01488410847,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
671,H_3,2020-06-02,DEM,Chip Coldiron,13535,IN,1803,0,0,0,0,0,0,0,2540,116,1719,78,34800,0.3889367816,0,DEM,0.07298850575,IN2020-06-02,7.840312983,4.762173935
680,H_5,2020-06-02,DEM,Christina Hale,29462,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,72611,0.4057511947,0,DEM,0.1787057057,IN2020-06-02,9.470933839,6.8134446
703,H_2,2020-06-02,GOP,Christopher Davis,10310,IN,1802,0,0,0,0,0,0,0,3799,104,1402,39,48591,0.2121792101,0,GOP,0.07818320265,IN2020-06-02,8.242756346,4.65396035
706,H_3,2020-06-02,GOP,Christopher Magiera,11184,IN,1803,0,0,0,0,0,0,0,2540,116,1719,78,75679,0.1477820796,0,GOP,0.03356281135,IN2020-06-02,7.840312983,4.762173935
713,H_5,2020-06-02,GOP,Chuck Dietzen,4058,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.0468434358,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
718,H_5,2020-06-02,GOP,Danny Niederberger,674,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.007780304517,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
683,H_5,2020-06-02,DEM,Dee Thornton,19767,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,72611,0.2722314801,0,DEM,0.1787057057,IN2020-06-02,9.470933839,6.8134446
702,H_1,2020-06-02,GOP,Delano Scaife,1418,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,26905,0.05270395837,0,GOP,0.1752090689,IN2020-06-02,8.458504195,5.598421959
697,H_1,2020-06-02,GOP,Dion Bergeron,2710,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,26905,0.1007247723,0,GOP,0.1752090689,IN2020-06-02,8.458504195,5.598421959
724,H_7,2020-06-02,GOP,Douglas Merrill,3460,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,24440,0.1415711948,0,GOP,0.412806874,IN2020-06-02,9.219300113,6.458338283
670,H_2,2020-06-02,DEM,Ellen Marks,8969,IN,1802,0,0,0,0,0,0,0,3799,104,1402,39,40474,0.2215990512,0,DEM,0.09386272669,IN2020-06-02,8.242756346,4.65396035
665,H_1,2020-06-02,DEM,Frank Mrvan,26675,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.3367545321,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
684,H_6,2020-06-02,DEM,George Holland,4933,IN,1806,0,0,0,0,0,0,0,3483,252,553,41,34071,0.1447858883,0,DEM,0.102227701,IN2020-06-02,8.155936338,5.533389489
728,H_7,2020-06-02,GOP,Gerald Walters,2149,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,24440,0.08792962357,0,GOP,0.412806874,IN2020-06-02,9.219300113,6.458338283
677,H_4,2020-06-02,DEM,Howard Pollchik,1322,IN,1804,0,0,0,0,0,0,0,5441,252,1594,87,33465,0.03950395936,0,DEM,0.1625877783,IN2020-06-02,8.601901919,5.533389489
725,H_7,2020-06-02,GOP,J.D. Miniear,3466,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,24440,0.1418166939,0,GOP,0.412806874,IN2020-06-02,9.219300113,6.458338283
694,H_9,2020-06-02,DEM,James O'Gabhann,3036,IN,1809,0,0,0,0,0,0,0,3576,329,1144,118,44483,0.06825079244,0,DEM,0.08039026145,IN2020-06-02,8.182279739,5.799092654
667,H_1,2020-06-02,DEM,Jayson Reeves,513,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.006476291471,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
672,H_3,2020-06-02,DEM,Jean-Paul Kalonji,4950,IN,1803,0,0,0,0,0,0,0,2540,116,1719,78,34800,0.1422413793,0,DEM,0.07298850575,IN2020-06-02,7.840312983,4.762173935
685,H_6,2020-06-02,DEM,Jeannine Lake,23965,IN,1806,0,0,0,0,0,0,0,3483,252,553,41,34071,0.7033841097,0,DEM,0.102227701,IN2020-06-02,8.155936338,5.533389489
679,H_5,2020-06-02,DEM,Jennifer Christie,13128,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,72611,0.1807990525,0,DEM,0.1787057057,IN2020-06-02,9.470933839,6.8134446
707,H_4,2020-06-02,GOP,Jim Baird,0,IN,1804,0,0,0,0,0,0,0,5441,252,1594,87,0,1,0,GOP,Inf,IN2020-06-02,8.601901919,5.533389489
662,H_1,2020-06-02,DEM,Jim Harper,6037,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.07621320002,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
676,H_4,2020-06-02,DEM,Joe Mackey,18051,IN,1804,0,0,0,0,0,0,0,5441,252,1594,87,33465,0.5393993725,0,DEM,0.1625877783,IN2020-06-02,8.601901919,5.533389489
661,H_1,2020-06-02,DEM,John Hall,1196,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.01509872242,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
723,H_7,2020-06-02,GOP,Jon Davis,2672,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,24440,0.1093289689,0,GOP,0.412806874,IN2020-06-02,9.219300113,6.458338283
717,H_5,2020-06-02,GOP,Kelly Mitchell,4601,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.05311154463,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
708,H_5,2020-06-02,GOP,Kent Abernathy,4882,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.05635526209,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
731,H_8,2020-06-02,GOP,Larry Bucshon,0,IN,1808,0,0,0,0,0,0,0,1424,98,287,29,0,1,0,GOP,Inf,IN2020-06-02,7.261927093,4.59511985
692,H_9,2020-06-02,DEM,Liam Dorris,6977,IN,1809,0,0,0,0,0,0,0,3576,329,1144,118,44483,0.1568464357,0,DEM,0.08039026145,IN2020-06-02,8.182279739,5.799092654
666,H_1,2020-06-02,DEM,Mara Reardon,5970,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.07536736858,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
700,H_1,2020-06-02,GOP,Mark Leyva,9585,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,26905,0.3562534845,0,GOP,0.1752090689,IN2020-06-02,8.458504195,5.598421959
695,H_9,2020-06-02,DEM,Mark Powell,9088,IN,1809,0,0,0,0,0,0,0,3576,329,1144,118,44483,0.2043027673,0,DEM,0.08039026145,IN2020-06-02,8.182279739,5.799092654
719,H_5,2020-06-02,GOP,Mark Small,1056,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.01218991331,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
726,H_7,2020-06-02,GOP,Martin Ramey,2177,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,24440,0.08907528642,0,GOP,0.412806874,IN2020-06-02,9.219300113,6.458338283
715,H_5,2020-06-02,GOP,Matthew Hook,2135,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.02464532662,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
716,H_5,2020-06-02,GOP,Matthew Hullinger,333,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.003843978344,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
655,H_1,2020-06-02,DEM,Melissa Borom,7398,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.09339494016,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
710,H_5,2020-06-02,GOP,Micah Beckwith,11040,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.1274400028,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
729,H_6,2020-06-02,GOP,Mike Campbell,12260,IN,1806,0,0,0,0,0,0,0,3483,252,553,41,74719,0.1640814251,0,GOP,0.04661464955,IN2020-06-02,8.155936338,5.533389489
691,H_8,2020-06-02,DEM,Mike Webster,13423,IN,1808,0,0,0,0,0,0,0,1424,98,287,29,40974,0.327597989,0,DEM,0.03475374628,IN2020-06-02,7.261927093,4.59511985
698,H_1,2020-06-02,GOP,Mont Handley,3003,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,26905,0.1116149415,0,GOP,0.1752090689,IN2020-06-02,8.458504195,5.598421959
669,H_2,2020-06-02,DEM,Patricia Hackett,31505,IN,1802,0,0,0,0,0,0,0,3799,104,1402,39,40474,0.7784009488,0,DEM,0.09386272669,IN2020-06-02,8.242756346,4.65396035
688,H_7,2020-06-02,DEM,Pierre Pullins,5332,IN,1807,0,0,0,0,0,0,0,10089,637,10089,637,64960,0.08208128079,0,DEM,0.1553109606,IN2020-06-02,9.219300113,6.458338283
682,H_5,2020-06-02,DEM,Ralph Spelbring,574,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,72611,0.00790513834,0,DEM,0.1787057057,IN2020-06-02,9.470933839,6.8134446
689,H_8,2020-06-02,DEM,Ron Drake,12468,IN,1808,0,0,0,0,0,0,0,1424,98,287,29,40974,0.3042905257,0,DEM,0.03475374628,IN2020-06-02,7.261927093,4.59511985
721,H_5,2020-06-02,GOP,Russell Stwalley,377,IN,1805,0,0,0,0,0,0,0,12976,909,10089,637,86629,0.004351891399,0,GOP,0.1497881772,IN2020-06-02,9.470933839,6.8134446
659,H_1,2020-06-02,DEM,Ryan Farrar,267,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.003370701409,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
660,H_1,2020-06-02,DEM,Sabrina Haake,3720,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.04696258143,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
657,H_1,2020-06-02,DEM,Scott Costello,982,IN,1801,0,0,0,0,0,0,0,4714,269,3723,214,79212,0.01239711155,0,DEM,0.05951118517,IN2020-06-02,8.458504195,5.598421959
